FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_shot_conversion_rate_pct,win_shot_conversion_rate_pct,z_shot_conversion_rate_pct,imputed_shot_conversion_rate_pct,raw_box_shots_per90,win_box_shots_per90,z_box_shots_per90,imputed_box_shots_per90,raw_goals_per90,win_goals_per90,z_goals_per90,imputed_goals_per90,raw_sprint_count_full_all_per_match,win_sprint_count_full_all_per_match,z_sprint_count_full_all_per_match,imputed_sprint_count_full_all_per_match,raw_last_passes_per90,win_last_passes_per90,z_last_passes_per90,imputed_last_passes_per90,raw_successful_through_passes_per90,win_successful_through_passes_per90,z_successful_through_passes_per90,imputed_successful_through_passes_per90,raw_attacking_third_gains_per90,win_attacking_third_gains_per90,z_attacking_third_gains_per90,imputed_attacking_third_gains_per90,imputed_count,imputed_ratio,score_line_receiver,rank_score_line_receiver,score_shadow_striker,rank_score_shadow_striker,score_high_press_initiator,rank_score_high_press_initiator
奥村　晃司,Koji Okumura,ST,セカンドトップ,16.666666666666664,16.666666666666664,1.2522338633123324,0,0.6446111869031378,0.6907070886154791,-1.6142228523895992,0,0.2455661664392905,0.2455661664392905,0.8972379421515817,0,5.315789473684211,5.315789473684211,-0.3080450210144724,0,1.0743519781718962,1.0743519781718962,-0.6878698679847028,0,0.7060334242837654,0.7060334242837654,-0.8811275873450872,0,0.9822646657571624,0.9604200902269626,1.419810636081588,0,0,0.0,-1.56899745532979,11,0.535248953074315,6,1.1117656150671156,4
三田　尚希,Naoki Sanda,ST,セカンドトップ,5.0,5.0,-0.6202781949409502,0,1.1201716738197425,1.1201716738197425,-0.4008818493889952,0,0.0772532188841201,0.0772532188841201,-0.7040583377070568,0,8.571428571428571,8.571428571428571,1.1237791886408728,0,1.0429184549356223,1.0429184549356223,-0.78073822740823,0,1.0042532188841202,1.0042532188841202,-0.1862031360552478,0,0.463519313304721,0.463519313304721,-0.2054328296756512,0,0,0.0,-0.9669413634634778,7,-1.7252183820370022,9,0.9183463589652215,6
髙橋　馨希,Yoshiki Takahashi,ST,セカンドトップ,11.76470588235294,11.76470588235294,0.4654640909370036,0,0.828994793752503,0.828994793752503,-1.223526742316161,0,0.2162595114136964,0.2162595114136964,0.6184201901649029,0,8.272727272727273,8.272727272727273,0.9924108956281952,0,1.4417300760913097,1.4417300760913097,0.3975255229634008,0,0.5766559871846215,0.6090003464594075,-1.1072381929620625,0,0.828994793752503,0.828994793752503,0.9899499591606729,0,0,0.0,-0.7097126699986617,5,-0.1396424612142546,7,1.982360854788868,1
菊谷　篤資,Atsushi  Kikutani,ST,セカンドトップ,12.244897959183673,12.244897959183673,0.5425354155778522,0,1.1013215859030838,1.1013215859030838,-0.4541378927681481,0,0.2643171806167401,0.2621583400080096,1.055092618195739,0,7.764705882352941,7.764705882352941,0.7689840034199315,0,1.145374449339207,1.145374449339207,-0.4780384618793411,0,0.7489867841409691,0.7489867841409691,-0.7810358410214621,0,0.6167400881057269,0.6167400881057269,0.2957156382458724,0,0,0.0,-1.2590743029008031,10,1.1434901410054432,3,1.0646996416658039,5
樺山　諒乃介,Ryonosuke Kabayama,ST,セカンドトップ,,10.882352941176473,0.3238455319094446,1,,1.2317276279546472,-0.085709381288147,1,,0.1920849795874452,0.3884284489293596,1,8.962962962962964,8.865079365079366,1.2529262786315978,0,,1.1323887172069171,-0.5164039874354289,1,,0.9519658844595232,-0.308045306971887,1,,0.5628949309306914,0.1196010215543144,1,6,0.8571428571428571,-0.8244492944073158,6,0.6265645995506572,4,1.3725273001859122,3
矢田　旭,Asahi Yada,ST,セカンドトップ,0.0,0.0,-1.4227833627637858,0,1.0180995475113122,1.0180995475113122,-0.6892602171991606,0,0.0,0.0,-1.4390302682871332,0,2.8260869565217392,2.917184265010352,-1.3629472703344665,0,1.7307692307692308,1.7307692307692308,1.251473453086792,0,1.425237556561086,1.425237556561086,0.7947924757680117,0,0.5090497737556561,0.5090497737556561,-0.0565135951372431,0,0,0.0,2.0462659288548037,2,-3.5510738482500797,11,-1.4194608654717096,9
平原　隆暉,Ryuki Hirahara,ST,セカンドトップ,0.0,0.0,-1.4227833627637858,0,1.5671641791044777,1.5671641791044777,0.8619797540607447,0,0.0,0.0,-1.4390302682871332,0,3.1904761904761907,3.1904761904761907,-1.242753973891865,0,1.119402985074627,1.119402985074627,-0.5547695129915173,0,0.8955223880597015,0.8955223880597015,-0.4395723433213358,0,0.0,0.0,-1.721493520638642,0,0,0.0,-0.9943418563128532,8,-1.9998338769901745,10,-2.9642474945305066,11
加藤　潤也,Junya Kato,ST,セカンドトップ,16.666666666666664,16.666666666666664,1.2522338633123324,0,1.3580246913580247,1.3580246913580247,0.2711102747796514,0,0.2469135802469135,0.2469135802469135,0.9100569721128366,0,8.5,8.5,1.092365031616102,0,0.9876543209876544,0.9964225589225588,-0.918107416035396,0,0.9879012345679012,0.9879012345679012,-0.2243072255026858,0,0.6172839506172839,0.6172839506172839,0.2974944823013259,0,0,0.0,-1.1424146415380818,9,2.4334011102048203,2,1.389859513917428,2
佐々木　陽次,Yoji Sasaki,ST,セカンドトップ,14.285714285714285,14.285714285714285,0.8700885453014585,0,1.6619318181818183,1.6619318181818183,1.129721184231081,0,0.2556818181818182,0.2556818181818182,0.993476263320222,0,3.6666666666666665,3.6666666666666665,-1.0333262603933926,0,1.0227272727272727,1.0227272727272727,-0.8403918002010841,0,1.5342187500000002,1.5342187500000002,1.0487450886485223,0,0.8948863636363636,0.8948863636363636,1.205465507487113,0,0,0.0,0.20835328844743828,4,2.9932859928527615,1,0.17213924709372042,7
井上　直輝,Naoki Inoue,ST,セカンドトップ,10.0,10.0,0.1822269728818853,0,1.343283582089552,1.343283582089552,0.2294630868127017,0,0.167910447761194,0.167910447761194,0.1584367076938164,0,4.4,4.4,-0.710807581605745,0,2.1828358208955225,2.0698191733639497,2.253175098006982,0,2.3507462686567164,2.1466143889925373,2.4757754572043225,0,0.335820895522388,0.335820895522388,-0.6231037787407043,0,0,0.0,4.728950555211304,1,0.5701267673884034,5,-1.3339113603464492,8
上野　瑶介,Yosuke Ueno,ST,セカンドトップ,0.0,0.0,-1.4227833627637858,0,2.0610687022900764,1.961284481263012,1.9754646354660248,0,0.0,0.0,-1.4390302682871332,0,4.714285714285714,4.714285714285714,-0.5725852906967532,0,1.6030534351145038,1.6030534351145038,0.874145199878518,0,0.9160305343511452,0.9160305343511452,-0.3917833884410878,0,0.0,0.0,-1.721493520638642,0,0,0.0,0.48236181143743023,3,-0.8863489955848942,8,-2.294078811335395,10
